shape	row_count	members	reads	writes	executes	network_hosts	capabilities_needed	profile_recommendation	description
pkg-lighttpd	1	lighttpd	Lighttpd sysusers fragment, profile, config/state dirs	account databases; ownership/mode; running-kernel AppArmor policy	systemd-sysusers; chown; chmod; apparmor_parser	none	CAP_CHOWN; CAP_MAC_ADMIN; root DAC	transitional Cx:archive-lifecycle/pkg-lighttpd; end state package-owned stable Px	create Lighttpd identity/state and load profile
pkg-linux-kernel	2	linux-kernel;linux-kernel-pass2	one /usr/lib/modules/*-igos-* tree	that tree's modules.* indexes	depmod	none	root module-tree DAC	transitional Cx:archive-lifecycle/pkg-linux-kernel; end state package-owned stable Px	resolve one kernel release and rebuild depmod indexes
pkg-mariadb	1	mariadb	MariaDB state dirs and AppArmor profile	state/log/runtime ownership; running-kernel AppArmor policy	chown; apparmor_parser	none	CAP_CHOWN; CAP_MAC_ADMIN; root state DAC	transitional Cx:archive-lifecycle/pkg-mariadb; end state package-owned stable Px	repair MariaDB state and load profile; setup commands are guidance only
pkg-openldap	1	openldap	sysusers fragment; LDAP config/state	account databases; /var/lib/openldap; slapd.d ownership; config modes	systemd-sysusers; install; chown; chmod	none	CAP_CHOWN; root config/state DAC	transitional Cx:archive-lifecycle/pkg-openldap; end state package-owned stable Px	create LDAP identity and repair state/config ownership
pkg-postgresql	1	postgresql	PostgreSQL profile and parent state paths	state/log/runtime dirs; running-kernel AppArmor policy	install; apparmor_parser	none	root ownership/DAC; CAP_MAC_ADMIN	transitional Cx:archive-lifecycle/pkg-postgresql; end state package-owned stable Px	prepare PostgreSQL state and load profile; initdb commands are guidance only
pkg-pyyaml-pass2	1	pyyaml-pass2	installed PyYAML and libyaml extension	possible Python bytecode cache	python3	none	read installed Python; possible cache DAC	transitional Cx:archive-lifecycle/pkg-pyyaml-pass2; end state package-owned stable Px	strict C-extension import check
pkg-remmina	1	remmina	icons, desktop entries, MIME XML, loader config/libraries	icon/desktop/MIME caches and /etc/ld.so.cache	gtk-update-icon-cache; update-desktop-database; update-mime-database; ldconfig	none	root application/icon/MIME/loader-cache DAC	transitional Cx:archive-lifecycle/pkg-remmina; end state package-owned stable Px	refresh Remmina-related caches
pkg-rhythmbox	1	rhythmbox	schemas, icons, desktop entries and expected man pages	gschemas.compiled; icon-theme.cache; mimeinfo.cache	glib-compile-schemas; gtk-update-icon-cache; update-desktop-database	none	root schema/icon/application DAC	transitional Cx:archive-lifecycle/pkg-rhythmbox; end state package-owned stable Px	refresh caches and check man-page presence
pkg-systemd	1	systemd	target /etc/machine-id and preset policy	systemd unit-enable symlinks only on first-install roots	systemctl preset-all or --root preset-all	none	root /etc DAC; system-manager interaction on live root	transitional Cx:archive-lifecycle/pkg-systemd; end state package-owned stable Px	apply presets only to a never-booted target
pkg-systemd-pass2	1	systemd-pass2	/usr/lib/security/pam_systemd.so; /run/systemd/system	running system-manager process/state via daemon-reexec	systemctl daemon-reexec	none	system-manager D-Bus and PID1 re-exec authority	transitional Cx:archive-lifecycle/pkg-systemd-pass2; end state package-owned stable Px	verify PAM module and re-exec a live manager
pkg-texinfo-core	1	texinfo-core	regular Info documents	/usr/share/info/dir	install-info; rm	none	root shared-doc DAC	transitional Cx:archive-lifecycle/pkg-texinfo-core; end state package-owned stable Px	rebuild Info directory index
python-import-check	2	pyyaml;websockets	installed Python module/package metadata	possible Python bytecode cache	python3	none	read installed Python; possible cache DAC	transitional Cx:archive-lifecycle/python-import-check; end state package-owned stable Px	post-deploy Python import/version check
schema-desktop-cache	4	gnome-control-center;gnome-session;gnome-settings-daemon;gnome-shell	GLib schemas and desktop entries	gschemas.compiled and mimeinfo.cache	glib-compile-schemas; update-desktop-database	none	root schema/application DAC	transitional Cx:archive-lifecycle/schema-desktop-cache; end state package-owned stable Px	refresh schema and desktop databases
schema-ld-cache	1	libxapp	GLib schemas, loader config and libraries	gschemas.compiled and /etc/ld.so.cache	glib-compile-schemas; ldconfig	none	root schema/loader-cache DAC	transitional Cx:archive-lifecycle/schema-ld-cache; end state package-owned stable Px	refresh schema and loader caches
server-policy-dirs	3	haproxy;memcached;nginx	AppArmor profile and named service paths	named service state directories; running-kernel AppArmor policy	install; apparmor_parser	none	root DAC; ownership setting; CAP_MAC_ADMIN	transitional Cx:archive-lifecycle/server-policy-dirs; end state package-owned stable Px	prepare service directories and load its profile
server-policy-sysusers	3	caddy;etcd;valkey	sysusers fragment; AppArmor profile; named state/config paths	account databases; named ownership; running-kernel AppArmor policy	systemd-sysusers; chown; apparmor_parser	none	CAP_CHOWN; root DAC; CAP_MAC_ADMIN	transitional Cx:archive-lifecycle/server-policy-sysusers; end state package-owned stable Px	create service identity/state and load its profile
sgml-catalog	1	sgml-common	SGML catalog source	/etc/sgml catalog files	install-catalog	none	root /etc DAC	transitional Cx:archive-lifecycle/sgml-catalog; end state package-owned stable Px	register SGML catalog
state-dir-install	3	cyrus-sasl;openssh;tpm2-tss	named package paths	named state directories and modes	install	none	root DAC and ownership setting	transitional Cx:archive-lifecycle/state-dir-install; end state package-owned stable Px	create or repair a package state directory
systemd-global-enable	1	wireplumber	installed user unit definitions	/etc/systemd/user enablement symlinks	systemctl --global enable	none	root /etc DAC	transitional Cx:archive-lifecycle/systemd-global-enable; end state package-owned stable Px	enable global user units offline
sysusers-only	1	docker	one sysusers fragment	account databases	systemd-sysusers	none	root account-database DAC	transitional Cx:archive-lifecycle/sysusers-only; end state package-owned stable Px	create package account/group
sysusers-permissions	2	dbus;dbus-pass2	sysusers fragment and named binary/state paths	account databases; ownership and privileged mode bits	systemd-sysusers; chown; chmod	none	CAP_CHOWN; CAP_FOWNER; CAP_FSETID; root DAC	transitional Cx:archive-lifecycle/sysusers-permissions; end state package-owned stable Px	create account then restore ownership/modes
udev-refresh	5	alsa-utils;libgphoto2;libimobiledevice;libmtp;pulseaudio	udev rules and sysfs device state	udev daemon runtime rules/state	udevadm	none	udev control socket and device-event authority	transitional Cx:archive-lifecycle/udev-refresh; end state package-owned stable Px	reload/trigger udev rules
